,ACAL1,ACAL2,ACAL3,ALPC10,ALPC11,ALPC12,ALPC13,ALPC3,ALPC4,ALPC5,ALPC6,ALPC8,ALPC9,Aq1,Aq10,Aq12,Aq13,Aq14,Aq15,Aq16,Aq17,Aq18,Aq19,Aq2,Aq20,Aq21,Aq22,Aq23,Aq24,Aq25,Aq26,Aq27,Aq28,Aq29,Aq3,Aq30,Aq31,Aq32,Aq33,Aq34,Aq35,Aq36,Aq37,Aq38,Aq39,Aq4,Aq40,Aq41,Aq42,Aq5,Aq7,Aq8,Aq9,ARA1,ARA10,ARA11,ARA12,ARA13,ARA14,ARA15,ARA16,ARA17,ARA18,ARA19,ARA2,ARA20,ARA21,ARA22,ARA23,ARA24,ARA25,ARA26,ARA28,ARA29,ARA30,ARA31,ARA32,ARA4,ARA5,ARA6,ARA7,ARA8,ARA9,As1,As10,As2,As9,BFC10,BFC11,BFC12,BFC13,BFC14,BFC15,BFC16,BFC17,BFC18,BFC19,BFC2,BFC20,BFC21,BFC22,BFC23,BFC24,BFC25,BFC26,BFC27,BFC3,BFC6,BFC7,BFC8,BFC9,Br2,Br3,CVL1,CVL2,CVL3,CVL4,CVL5,CVL6,CVL7,CVL8,CVL9,LRMD1,LRMD10,LRMD11,LRMD2,LRMD3,LRMD4,LRMD5,LRMD6,LRMD7,LRMD8,LRMD9,PDL1,PDL2,S2,SA10,SA11,SA3,SA6,SA8,SA9
Otu000127,0,37,12,21,0,192,136,0,0,74,76,56,88,0,60,0,0,0,0,0,4,0,2,0,0,4,0,12,0,19,0,0,6,21,0,8,10,14,14,10,21,2,18,0,0,0,40,7,11,117,7,29,65,0,13,15,95,0,6,8,0,5,4,0,0,10,0,0,0,0,0,6,13,22,92,18,66,5,48,0,22,5,26,204,2,210,88,200,8,0,526,45,243,24,3,116,70,228,0,17,0,0,30,23,7,0,6,101,7,31,7,233,0,0,0,0,0,6,5,0,0,6,4,0,36,6,66,12,0,0,0,0,0,15,13,0,4,117,0,0,205,36
Otu000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,27,0,0,2,0,0,474,44,0,2195,3,434,37,0,0,0,0,4,0,0,0,0,0,0,10,28,62,0,0,0,0,0,0,0,0,17,172,15,0,0,0,2,5,0,0,18,0,0,0,0,68,87,18,0,8,0,0,7,20,81,10,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,8,0,150,0,16,19,0,0,0,0,86,0,17,31,14,10,6,59,0,2,0,0,73,35,10,3,11,30,0,9,0,7,0,2,0,2,0,0,0,0,0,0,18,8,0,4,26,0,0,0,0
Otu000129,0,0,0,4,0,0,0,631,0,0,0,0,0,0,696,8,0,0,0,0,119,0,7,0,7,208,0,0,0,0,0,0,0,0,0,0,0,0,0,245,131,35,108,50,21,0,5,24,36,8,0,121,397,0,0,0,0,106,0,0,0,5,0,10,0,0,16,388,24,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,275,7,0,9,0,247,99,94,54,0,0,0,0,0,0,0,4,0,2,0,0,0,24,0,0,0,14,16,0,0,5,21,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,209,0,17,20,0,0,0,0
Otu000130,2,0,0,0,0,0,0,0,0,0,2,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,310,0,0,0,0,8,36,0,0,7,33,0,0,0,0,6,0,0,0,0,0,0,31,3,0,10,0,0,0,0,0,0,57,0,30,5,0,0,0,0,0,0,0,62,0,109,19,0,142,15,65,30,11,159,120,59,5,95,22,0,16,122,28,0,0,23,0,493,7,0,0,0,0,0,0,0,0,0,0,2,1323,0,2,0,3,0,168,4,0,0,0,0,0,22,16,132,0,0,170,551
Otu000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,0,2,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,113,0,2,0,0,0,155,0,0,0,0,10,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,768,0,299,0,73,0,11,174,6,426,417,78,512,17,48,0,15,9,0,253,54,5,0,0,37,15,200,13,0,0,8,0,0,0,0,5,0,3,7,0,2,0,20,0,0,34,0,0,0,8,11,0,0,31,76,0,0,386,0
Otu000132,0,0,7,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,3,0,0,0,9,8,0,0,0,0,0,12,0,0,0,6,5,4,0,0,0,0,0,0,0,0,72,0,32,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,46,1496,31,13,65,24,1461,27,0,32,157,17,60,18,13,0,0,104,371,134,0,0,0,17,30,11,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0
Otu000133,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,741,0,0,0,0,0,0,3,0,0,0,0,60,0,0,13,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,3509,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000134,0,0,19,0,0,3,0,0,13,0,0,26,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,50,0,3,4,4,27,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,446,0,3,2,0,0,0,0,8,6,0,0,0,0,46,257,0,16,32,0,5,0,0,0,0,699,487,0,0,0,3,8,0,0,98,311,0,0,0,0,0,27,0,0,3,0,3,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,338,782,116,30,29,85,5,56,5,0,0,0,0,0,11,37,0,58,44,11
Otu000135,0,0,0,0,0,0,0,0,50,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,9,9,0,0,1119,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,117,0,0,26,0
Otu000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1543,164,33,608,0,0,65,0,697,817,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,17,0,0,0,0,0,0,0
Otu000137,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,82,0,0,0,0,0,0,10,0,0,0,0,0,0,0,51,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,76,137,0,42,0,15,37,5,0,0,0,0,0,0,0,0,16,155,0,0,0,0,0,0,0,0,53,0,0,3,0,8,44,22,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1879,3,0,450,0,0,0,0,0,12,0,0,6
Otu000138,0,133,38,2,0,0,0,0,4,0,0,0,0,7,52,0,0,0,0,0,13,0,0,0,0,0,5,6,0,0,0,14,15,235,15,82,102,64,127,30,46,28,353,0,7,6,20,26,16,17,0,17,0,0,0,0,603,0,0,0,0,11,0,0,0,41,0,32,0,2,18,22,173,419,37,210,38,0,4,0,0,5,287,0,0,0,15,9,0,0,75,0,6,0,6,3,0,0,0,2,0,101,5,7,0,0,0,0,0,0,0,91,6,27,5,0,3,4,0,0,0,0,0,35,155,32,220,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0
Otu000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,69,69,0,16,20,0,0,4,0,0,0,0,0,0,0,0,0,0,17,56,4,0,151,3,0,0,16,59,4,4,8,44,15,0,0,0,0,0,0,0,2,0,0,0,2,0,9,2,3,0,0,0,0,29,0,0,25,0,0,0,0,0,0,0,0,0,8,4,2,0,0,124,205,0,279,57,0,0,324,87,0,87,19,84,0,0,211,6,290,0,0,0,153,203,124,125,239,167,138,29,144,171,0,0,0,0,0,0,0,0,0,0,140,95,0,5,0,0,0,0,0
Otu000140,3,186,77,0,0,0,24,17,20,5,15,17,0,36,321,31,0,0,0,0,3,60,21,59,30,12,38,26,10,6,5,4,0,7,18,17,43,33,36,21,84,53,0,113,18,0,10,89,94,32,7,148,44,2,3,5,34,182,13,20,18,129,0,3,2,129,62,29,58,237,0,0,2,4,135,5,22,0,0,2,22,34,3,19,0,25,42,0,0,0,14,32,34,187,0,33,0,34,9,8,7,19,26,25,10,6,0,47,43,17,0,27,3,21,34,27,20,30,53,50,6,38,0,24,0,0,10,0,0,0,0,0,0,17,25,0,8,75,0,0,0,3
Otu000141,0,0,0,0,0,0,0,308,0,0,0,0,0,0,21,0,0,0,0,42,127,6,0,4,6,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,11,23,12,0,61,101,38,0,0,3,132,0,0,0,0,64,0,0,0,33,0,70,0,175,7,1241,29,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,75,0,0,0,0,0,0,0
Otu000142,0,2,8,0,0,0,0,0,0,0,0,24,0,41,94,20,0,3,0,0,6,132,12,2,460,0,180,16,0,0,10,0,0,3,13,28,33,18,2,32,170,123,0,25,8,34,0,4,3,0,26,199,28,0,0,0,20,491,0,0,233,161,0,29,0,13,422,70,27,430,0,4,0,0,17,0,5,0,3,0,0,0,5,0,0,2,0,0,5,3,10,0,9,69,9,26,0,0,0,0,0,0,3,2,0,0,0,0,0,6,0,0,0,86,26,7,0,24,30,9,6,8,0,0,10,0,8,0,0,0,0,0,6,16,37,0,0,5,0,0,0,0
Otu000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,66,3503,0,5,0,0,21,0,326,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,9,54,25,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,3580,0,0
Otu000146,9,180,23,11,0,0,41,84,12,6,19,25,19,12,275,20,0,0,0,6,0,157,69,46,45,8,52,19,14,0,4,12,0,0,12,37,40,9,13,7,67,16,0,50,37,6,7,44,78,35,8,293,262,0,33,14,76,64,12,2,11,25,0,3,0,221,25,23,32,79,0,6,0,0,56,9,23,3,0,0,33,0,12,8,5,5,83,0,0,6,16,22,11,33,0,36,21,16,3,35,23,27,22,25,38,0,11,20,28,31,0,14,0,29,18,8,12,82,34,21,6,0,0,51,2,0,0,0,0,0,0,0,0,27,0,0,9,51,0,0,6,0
Otu000147,0,0,0,0,0,0,0,0,56,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,15,14,4,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,256,144,26,38,0,29,2223,62,0,0,0,0,0,37,0,0,0,48,9,0,6,0,0,0,0,13,0,37,31,0,41,28,222,200,46,9,131,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,32,35,0,0,5,37
Otu000148,0,0,0,0,0,0,0,130,0,0,0,5,0,0,301,0,0,0,0,10,188,8,15,0,6,47,0,5,0,0,0,0,0,0,0,0,0,0,0,42,34,5,67,9,2,0,0,13,0,9,2,46,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,13,0,5,0,0,0,0,327,11,0,754,12,257,120,227,294,46,0,0,12,0,12,3,69,20,0,0,0,24,41,0,15,0,3,0,2,0,3,14,0,2,0,16,3,4,4,0,0,0,4,0,0,0,0,120,13,8,18,0,0,0,121
Otu000149,0,0,0,0,0,0,0,0,0,0,0,78,0,0,1235,0,0,0,0,24,8,51,53,0,0,7,16,10,0,0,0,0,0,0,0,0,0,17,40,38,101,3,0,100,72,0,15,137,44,0,0,766,17,0,0,0,0,56,0,0,0,80,0,0,0,138,169,347,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,22,0,0,0,3,0,0,0,0,0,0,0,7,0,0,5,21,8,0,0,0,0,0,0,0
Otu000150,6,32,0,11,0,184,258,2,0,84,10,0,916,7,7,0,0,161,13,0,0,0,2,0,0,0,0,0,0,0,0,3,12,7,11,0,3,0,0,0,0,0,0,0,0,6,0,0,7,8,7,4,117,0,629,4,6,0,0,0,0,2,5,13,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,4,0,19,9,58,0,7,0,4,170,8,0,0,0,7,39,0,13,43,13,0,9,0,0,18,0,10,3,0,121,51,0,0,7,7,2,0,0,9,0,94,24,0,4,161,66,0,9,121,0,0,0,0,0,0,0,0,7,3,0
Otu000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1062,155,151,0,19,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,7,473,18,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,93,476,0,0,0,4,0,0,57,0,0,53,0,0,0,7,0,0,0,0,0,0,0,6,14,0,6,0,0,0,0,0,0,34,0,28,0,0,0,0,0,0,51,0,289,0,54,3,0,0,9,485,129,425,553,0,42,0,7,0,0,48,11,7,0,0,25,0,294,9,0,0,11,7,0,13,21,19,14,4,13,7,4,0,0,0,0,61,0,0,0,0,131,41,0,0,42,0,0,11,0
Otu000153,0,77,0,0,0,0,0,0,39,0,0,0,0,0,35,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,99,421,52,0,0,7,8,6,2,9,0,0,0,0,0,37,3,0,9,0,18,13,0,0,140,18,4,0,0,0,0,0,0,6,0,0,0,0,0,0,4,311,98,32,11,14,7,24,0,0,32,9,92,0,17,0,10,21,110,203,128,93,6,0,56,213,236,4,48,52,0,38,249,15,6,88,51,8,27,26,0,0,0,0,0,0,0,0,0,0,0,67,0,10,58,9,0,33,21,3,0,0,0,0,3,24,35,4,0,19,24
Otu000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,22,12,0,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,37,19,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,35,136,12,6,257,41,4,0,0,0,0,0,0,0,42,51,97,7,65,49,43,18,65,278,53,11,533,114,146,137,80,70,5,16,50,300,88,40,0,0,6,11,12,34,26,0,9,4,0,168,88,10,0,0,0,17,0,0,0,0,12,0,5,66,62,0,2,75,24
Otu000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,5,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,57,6,0,0,0,0,0,0,31,250,768,15,16,0,52,65,20,4,179,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,234,0,0,0,7,0,0,0,0,0,0,0,0,3
Otu000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,73,5,9,11,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,14,0,0,0,0,0,0,0,1664,0,23,0,606,0,0,17,0,29,56,13,97,8,6,0,11,0,0,25,4,0,0,0,27,2,15,0,0,0,19,0,0,12,79,11,15,9,20,225,8,0,36,0,0,0,0,0,0,9,68,10,0,7,30,0,0,35,0
Otu000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,515,370,584,210,506,210,216,314,0,0,0,0,0,0,0,0,0,0,0,353,27,0,0,0,0,0,0,0
Otu000158,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,53,0,0,0,0,6,45,66,0,4,22,0,0,39,0,0,0,0,0,0,0,0,6,0,17,83,5,0,129,0,0,0,7,38,7,0,9,32,5,0,0,0,31,0,0,0,33,0,0,0,0,0,0,8,15,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,3,0,0,8,0,0,2,83,246,4,200,38,0,0,230,78,2,61,22,50,3,0,159,5,189,5,0,0,157,163,103,85,201,101,94,26,90,123,6,0,0,0,0,0,0,0,0,0,131,90,0,0,0,0,2,0,0
Otu000159,0,0,14,0,0,0,2,0,13,0,0,0,0,5,4,31,0,0,0,0,7,0,23,156,21,0,6,19,6,3,10,11,39,31,14,41,210,50,334,276,228,0,0,0,0,0,0,0,15,0,0,6,0,18,0,4,28,14,0,0,0,0,0,3,0,0,4,21,140,15,0,60,15,170,0,899,0,0,16,7,0,214,23,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,9,0,0,0,0,0,68,28,4,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0
Otu000160,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,89,126,0,54,0,14,58,14,0,0,0,0,0,0,0,0,5,312,0,0,0,0,0,0,0,0,82,0,0,0,3,11,114,32,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,710,0,0,0,0,0,9,9,0,0
Otu000161,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,37,0,0,0,0,0,10,0,0,0,0,0,0,4,23,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,5,0,0,4,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,47,0,6,0,0,0,0,0,0,0,0,71,65,0,0,0,0,0,0,144,20,593,18,0,19,27,282,69,9,173,13,7,0,306,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,113,0,0,12,9,0,6,0,0,0,0,0,0,25
Otu000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,6,0,7,19,51,0,7,0,31,29,89,71,60,10,20,0,0,0,0,4,0,11,39,59,0,9,0,0,0,9,4,24,6,26,62,0,0,0,0,0,0,0,19,0,0,0,9,0,4,3,0,0,0,0,9,12,149,6,279,85,0,16,0,0,0,0,0,44,0,30,10,29,70,31,45,36,49,80,99,43,0,39,32,28,120,63,28,0,3,29,57,91,27,0,0,18,88,30,37,139,33,34,19,25,0,20,0,0,0,0,72,0,0,0,0,100,71,3,31,74,0,0,37,73
Otu000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,65,0,0,0,13,0,4,14,0,0,0,0,3,0,0,0,0,0,0,45,10,101,312,10,0,0,0,6,32,18,5,70,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,40,93,14,133,0,0,0,0,0,0,0,0,10,0,150,16,0,122,0,17,16,219,4,19,27,6,12,4,0,10,21,19,6,0,7,13,9,16,0,0,3,7,5,10,14,27,15,2,0,17,0,3,0,0,0,0,5,0,0,0,8,4,39,788,224,0,0,13,297
Otu000164,0,0,21,0,0,0,0,0,0,0,58,27,0,107,0,2,0,0,0,2,0,0,4,0,0,0,0,9,0,0,0,0,0,36,221,1180,250,144,97,22,20,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,247,0,100,0,0,0,13,12,0,0,0,0,0,0,6,92,0,0,0,0,0,0,0,0,0,0,10,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000165,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,12,0,0,0,0,59,75,18,136,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,162,79,0,21,5,0,0,0,44,0,0,54,14,0,0,0,0,518,0,0,77,127,0,52,0,37,408,168,404,160,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,4,14,4,5,9,0,0,0,0,2,11,0,0,0,0,0,0,0,0,8,0,399,5,11,0,0,0,0
Otu000166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,66,17,126,2,0,0,0,553,46,0,0,0,0,0,0,0,0,0,0,28,0,0,8,4,0,0,0,22,0,0,0,20,0,0,0,0,182,0,0,9,951,0,0,0,43,189,739,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000167,0,0,8,0,0,0,0,6,0,0,0,0,0,0,139,0,0,0,0,2,0,0,0,44,0,3,0,0,13,15,135,0,0,0,0,0,0,0,27,23,44,2,13,0,0,0,5,0,28,0,0,50,43,0,0,0,0,0,0,0,0,0,0,0,93,0,3,0,0,2,0,0,0,0,18,0,99,0,0,52,0,0,0,0,0,0,3,10,0,2,0,11,20,16,0,110,0,0,4,21,19,4,679,85,384,0,0,178,0,135,0,0,0,11,42,31,110,55,25,18,11,15,0,0,0,0,0,0,0,0,0,0,0,163,62,0,2,0,0,0,31,21
Otu000168,0,52,0,0,0,0,0,0,0,0,0,0,0,166,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,345,59,136,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0,0,0,0,7,0,5,104,0,29,0,0,0,161,0,0,0,0,0,0,0,0,193,0,0,0,0,85,0,0,0,0,12,155,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,607,11,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0
Otu000169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,191,297,46,20,164,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,45,32,0,0,12,29,0,0,4,60,0,0,0,0,214,0,0,12,191,7,9,0,14,491,679,12,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,36,12,14,9,6,0,8,4,0,0,0,0,0,0,0,0,0,0,0,23,35,0,0,0,0,0,0,0
Otu000170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5,13,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,611,2,0,0,0,0,0,21,0,37,0,0,406,0,0,9,0,0,0,0,0,0,0,0,0,2,46,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,10,0,0,0,0,0,0,1625,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000171,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,11,4,28,2,65,0,0,0,0,0,0,0,0,14,5,2,0,0,0,0,0,12,64,0,2,6,5,7,17,37,15,5,31,21,5,70,0,0,0,0,0,0,0,0,0,0,0,249,6,0,0,0,0,6,0,0,0,39,0,0,0,0,0,0,2083,0,48
